Site ID,Wetland Type Stagg,Wetland Subclass LUCAS,Transect,Year,Aboveground NPP ,Belowground NPP,Aboveground Mortality,Belowground Mortality ,AGVF.annual.percent.loss,BGVF.annual.percent.loss,AGVF.percent.lignin,BGVF.percent.lignin,Foliage Live Stock,Fine Roots Live Stock,AGVF.DOM.Stock,BGVF.DOM.Stock
225,2,Estuarine Herbaceous,1,2,NA,1196.490697,NA,1923.227541,NA,NA,NA,NA,103.8021022,9.39507707,578.4722874,1724.778596
225,2,Estuarine Herbaceous,2,2,707.2435569,307.8269369,506.5293408,1344.048673,NA,NA,NA,NA,530.274797,12.15833503,249.0772574,1588.106553
225,2,Estuarine Herbaceous,3,2,314.3247807,2800.285618,407.1646846,3698.344456,NA,NA,NA,NA,242.011478,2.763257962,42.4800119,2180.540327
225,2,Estuarine Herbaceous,4,2,271.36689,1533.055517,374.5494565,3305.961825,NA,NA,NA,NA,163.673489,5.526515924,175.279117,1168.489494
225,2,Estuarine Herbaceous,5,2,408.5010385,1304.257758,590.0727953,2631.726883,NA,NA,NA,NA,209.5327867,1.105303185,263.174682,2156.255625
305,2,Estuarine Herbaceous,1,2,117.2161782,702.3635605,322.5752792,1495.212293,NA,NA,NA,NA,88.2710532,4.965649682,33.0205986,782.1014573
305,2,Estuarine Herbaceous,2,2,266.0790264,583.739707,362.3420216,1799.77214,NA,NA,NA,NA,242.675928,69.51909554,29.9331186,729.4688917
305,2,Estuarine Herbaceous,3,2,302.8509132,508.7032229,412.5444464,592.5675287,NA,NA,NA,NA,242.1201816,26.48346497,70.2247326,587.7303159
305,2,Estuarine Herbaceous,4,2,520.0643936,2157.850656,549.1283866,2811.661197,NA,NA,NA,NA,272.392923,38.06998089,208.3740252,1009.714219
305,2,Estuarine Herbaceous,5,2,321.9315396,1051.062516,281.311109,1777.150847,NA,NA,NA,NA,314.8612104,291.8698535,41.912541,842.5827389
398,2,Estuarine Herbaceous,1,2,749.9382136,603.3707932,1806.879311,855.7340696,NA,NA,NA,NA,139.1575259,2.263347771,55.40200062,294.637414
398,2,Estuarine Herbaceous,2,2,410.6183903,1219.944448,363.3988665,1251.631317,NA,NA,NA,NA,242.613924,7.921717197,250.4620938,651.9276115
398,2,Estuarine Herbaceous,3,2,298.8561615,1150.346504,246.1125272,1417.610154,NA,NA,NA,NA,210.0234602,5.658369427,214.671579,506.8666624
398,2,Estuarine Herbaceous,4,2,458.2437306,1397.051411,348.5427637,1423.645748,NA,NA,NA,NA,357.923025,8.48755414,344.51499,1016.555522
398,2,Estuarine Herbaceous,5,2,450.7602593,913.2608255,630.5834615,1456.46429,NA,NA,NA,NA,273.4881592,2.829184713,108.01513,206.020414
4045,2,Estuarine Herbaceous,1,2,478.2095453,2419.90932,113.022564,2475.720357,NA,NA,NA,NA,334.3745394,1.609933758,73.4667912,851.6142955
4045,2,Estuarine Herbaceous,2,2,317.8814125,1684.527355,301.0528208,1952.313004,NA,NA,NA,NA,196.6494658,3.756512102,32.90909688,1105.493927
4045,2,Estuarine Herbaceous,3,2,204.5345659,2015.637065,507.5884342,2325.280991,NA,NA,NA,NA,177.6789313,21.46578344,150.2546839,1682.024197
