Site,Habitat Type 2014,Mode_Habitat_Type,Core Increment cm,Percent Moisture,Bulk Density g cm-3,LOI percent,TC percent,TC g cm-3
337,Saline,Saline,78-80,78.75087391,0.152472982,41.16521739,18.14093217,0.02766002
337,Saline,Saline,98-100,71.89919677,0.187975993,25.36784908,11.40651406,0.021441508
377,Saline,Saline,0-2,64.00709684,0.17512646,20.50702061,9.334342888,0.016346904
377,Saline,Saline,2-4,64.38626438,0.163636746,17.69863144,8.137126582,0.013315329
377,Saline,Saline,4-6,68.65858956,0.248014331,21.22756423,9.641510631,0.023912328
377,Saline,Saline,8-10,67.33912462,0.193972952,17.93905817,8.239620499,0.015982635
377,Saline,Saline,12-14,58.74719549,0.127823064,17.77051561,8.167770806,0.010440295
377,Saline,Saline,16-18,58.19846662,0.277955832,11.1013407,5.324701542,0.014800318
377,Saline,Saline,22-24,54.55847395,0.315926382,10.83636152,5.211740914,0.016465264
377,Saline,Saline,38-40,67.77201414,0.245383818,18.61209621,8.526536613,0.020922741
377,Saline,Saline,58-60,66.68496581,0.275073218,16.50867424,7.62984783,0.020987668
377,Saline,Saline,78-80,62.2856646,0.309285164,12.0133943,5.713509991,0.017671039
377,Saline,Saline,98-100,54.94466925,0.277859066,10.22254079,4.950069138,0.013754216
4455,Saline,Saline,0-2,61.31753739,0.121311717,29.10054958,12.99776429,0.015767811
4455,Saline,Saline,2-4,57.91901012,0.114316539,32.76229401,14.55876594,0.016643077
4455,Saline,Saline,4-6,47.9127548,0.088299162,24.90962866,11.2111747,0.009899373
4455,Saline,Saline,8-10,53.75855182,0.110843142,25.28053114,11.36929042,0.012602079
4455,Saline,Saline,12-14,58.61857118,0.21611968,20.0169822,9.125439512,0.019721871
4455,Saline,Saline,16-18,30.17474708,0.135330085,4.707236954,2.598895113,0.003517087
4455,Saline,Saline,22-24,64.1025641,0.185312376,18.38916464,8.431500886,0.015624615
4455,Saline,Saline,38-40,60.01133374,0.24078997,21.45914055,9.740231618,0.023453501
4455,Saline,Saline,58-60,79.01258999,0.135032147,47.92277462,21.02167882,0.028386024
4455,Saline,Saline,78-80,65.99420605,0.222692143,18.97848813,8.682729488,0.019335756
4455,Saline,Saline,98-100,70.97087,0.170759248,42.33185593,18.63827018,0.03182657
